Model,Class_ID,Class_Name,Precision,Recall,F1,Support
XGBoost,10,Fungal Infection,0.9424860853432282,0.9153153153153153,0.9287020109689214,555.0
XGBoost,11,Gastroenteritis,0.9451327433628318,0.960431654676259,0.9527207850133809,556.0
XGBoost,12,Hyperthyroidism,1.0,0.9981981981981982,0.9990982867448152,555.0
XGBoost,13,Inflammatory Bowel Disease,0.9399293286219081,0.9568345323741008,0.948306595365419,556.0
XGBoost,14,Intestinal Parasites,0.9750889679715302,0.9856115107913669,0.9803220035778175,556.0
XGBoost,15,Pancreatitis,0.9637023593466425,0.9567567567567568,0.9602169981916817,555.0
XGBoost,16,Ringworm,0.9803220035778175,0.9873873873873874,0.9838420107719928,555.0
XGBoost,17,Upper Respiratory Infection,0.9856373429084381,0.9891891891891892,0.987410071942446,555.0
MLP_XL,0,Conjunctivitis,0.968978102189781,0.9567567567567568,0.9628286491387126,555.0
MLP_XL,1,Feline Asthma,0.9804618117229129,0.9945945945945946,0.9874776386404294,555.0
MLP_XL,2,Feline Calicivirus,0.9618874773139746,0.9532374100719424,0.957542908762421,556.0
MLP_XL,3,Feline Chlamydiosis,0.7606490872210954,0.6744604316546763,0.7149666348903718,556.0
MLP_XL,4,Feline Herpesvirus,0.7073552425665102,0.8129496402877698,0.7564853556485356,556.0
MLP_XL,5,Feline Immunodeficiency Virus,0.9548133595284872,0.8741007194244604,0.9126760563380282,556.0
MLP_XL,6,Feline Infectious Peritonitis,0.874296435272045,0.8381294964028777,0.8558310376492194,556.0
MLP_XL,7,Feline Leukemia Virus,0.8003565062388592,0.8075539568345323,0.8039391226499553,556.0
MLP_XL,8,Feline Panleukopenia,0.9509632224168126,0.9766187050359713,0.963620230700976,556.0
MLP_XL,9,Feline Renal Disease,0.9527972027972028,0.9819819819819819,0.9671694764862466,555.0
MLP_XL,10,Fungal Infection,0.943609022556391,0.9045045045045045,0.9236430542778289,555.0
MLP_XL,11,Gastroenteritis,0.9428571428571428,0.9496402877697842,0.946236559139785,556.0
MLP_XL,12,Hyperthyroidism,1.0,1.0,1.0,555.0
MLP_XL,13,Inflammatory Bowel Disease,0.9258620689655173,0.9658273381294964,0.9454225352112676,556.0
MLP_XL,14,Intestinal Parasites,0.9732142857142857,0.9802158273381295,0.9767025089605734,556.0
MLP_XL,15,Pancreatitis,0.9586330935251799,0.9603603603603603,0.9594959495949595,555.0
MLP_XL,16,Ringworm,0.9804618117229129,0.9945945945945946,0.9874776386404294,555.0
MLP_XL,17,Upper Respiratory Infection,0.98014440433213,0.9783783783783784,0.9792605951307484,555.0
MLP_diamond_Small,0,Conjunctivitis,0.979047619047619,0.9261261261261261,0.9518518518518518,555.0
MLP_diamond_Small,1,Feline Asthma,0.983957219251337,0.9945945945945946,0.989247311827957,555.0
MLP_diamond_Small,2,Feline Calicivirus,0.9655797101449275,0.9586330935251799,0.9620938628158845,556.0
MLP_diamond_Small,3,Feline Chlamydiosis,0.7128205128205128,0.75,0.7309377738825592,556.0
MLP_diamond_Small,4,Feline Herpesvirus,0.7417677642980935,0.7697841726618705,0.7555163283318623,556.0
MLP_diamond_Small,5,Feline Immunodeficiency Virus,0.9397363465160076,0.8974820143884892,0.9181232750689973,556.0
MLP_diamond_Small,6,Feline Infectious Peritonitis,0.8412698412698413,0.8579136690647482,0.8495102404274265,556.0
MLP_diamond_Small,7,Feline Leukemia Virus,0.8116760828625236,0.7751798561151079,0.7930082796688133,556.0
MLP_diamond_Small,8,Feline Panleukopenia,0.9487632508833922,0.9658273381294964,0.9572192513368984,556.0
MLP_diamond_Small,9,Feline Renal Disease,0.96415770609319,0.9693693693693693,0.9667565139263252,555.0
MLP_diamond_Small,10,Fungal Infection,0.9485714285714286,0.8972972972972973,0.9222222222222223,555.0
MLP_diamond_Small,11,Gastroenteritis,0.9507299270072993,0.9370503597122302,0.9438405797101449,556.0
MLP_diamond_Small,12,Hyperthyroidism,1.0,1.0,1.0,555.0
MLP_diamond_Small,13,Inflammatory Bowel Disease,0.9327586206896552,0.9730215827338129,0.9524647887323944,556.0
MLP_diamond_Small,14,Intestinal Parasites,0.9697508896797153,0.9802158273381295,0.9749552772808586,556.0
MLP_diamond_Small,15,Pancreatitis,0.9520426287744227,0.9657657657657658,0.9588550983899821,555.0
MLP_diamond_Small,16,Ringworm,0.9768683274021353,0.9891891891891892,0.9829901521933752,555.0
MLP_diamond_Small,17,Upper Respiratory Infection,0.980072463768116,0.9747747747747748,0.9774164408310749,555.0
MLP_diamond_Medium,0,Conjunctivitis,0.9517857142857142,0.9603603603603603,0.9560538116591928,555.0
MLP_diamond_Medium,1,Feline Asthma,0.9820466786355476,0.9855855855855856,0.9838129496402878,555.0
MLP_diamond_Medium,2,Feline Calicivirus,0.9389179755671903,0.9676258992805755,0.9530558015943312,556.0
MLP_diamond_Medium,3,Feline Chlamydiosis,0.7123287671232876,0.7482014388489209,0.7298245614035088,556.0
MLP_diamond_Medium,4,Feline Herpesvirus,0.7611650485436893,0.7050359712230215,0.7320261437908496,556.0
MLP_diamond_Medium,5,Feline Immunodeficiency Virus,0.9524752475247524,0.8651079136690647,0.9066918001885014,556.0
MLP_diamond_Medium,6,Feline Infectious Peritonitis,0.8488576449912126,0.8687050359712231,0.8586666666666667,556.0
MLP_diamond_Medium,7,Feline Leukemia Virus,0.8336633663366336,0.7571942446043165,0.7935909519321395,556.0
MLP_diamond_Medium,8,Feline Panleukopenia,0.9575971731448764,0.9748201438848921,0.966131907308378,556.0
MLP_diamond_Medium,9,Feline Renal Disease,0.9382504288164666,0.9855855855855856,0.961335676625659,555.0
MLP_diamond_Medium,10,Fungal Infection,0.8795180722891566,0.9207207207207208,0.8996478873239436,555.0
MLP_diamond_Medium,11,Gastroenteritis,0.9711538461538461,0.908273381294964,0.9386617100371747,556.0
MLP_diamond_Medium,12,Hyperthyroidism,1.0,1.0,1.0,555.0
MLP_diamond_Medium,13,Inflammatory Bowel Disease,0.9318181818181818,0.9586330935251799,0.9450354609929078,556.0
MLP_diamond_Medium,14,Intestinal Parasites,0.9802867383512545,0.9838129496402878,0.9820466786355476,556.0
MLP_diamond_Medium,15,Pancreatitis,0.9206081081081081,0.9819819819819819,0.9503051438535309,555.0
MLP_diamond_Medium,16,Ringworm,0.983754512635379,0.9819819819819819,0.9828674481514879,555.0
MLP_diamond_Medium,17,Upper Respiratory Infection,0.9800362976406534,0.972972972972973,0.976491862567812,555.0
MLP_diamond_Large,0,Conjunctivitis,0.9672131147540983,0.9567567567567568,0.9619565217391305,555.0
MLP_diamond_Large,1,Feline Asthma,0.9910233393177738,0.9945945945945946,0.9928057553956835,555.0
MLP_diamond_Large,2,Feline Calicivirus,0.9706422018348624,0.9514388489208633,0.96094459582198,556.0
MLP_diamond_Large,3,Feline Chlamydiosis,0.7520661157024794,0.6546762589928058,0.7,556.0
MLP_diamond_Large,4,Feline Herpesvirus,0.6824224519940916,0.8309352517985612,0.7493917274939172,556.0
MLP_diamond_Large,5,Feline Immunodeficiency Virus,0.9415204678362573,0.8687050359712231,0.9036482694106641,556.0
MLP_diamond_Large,6,Feline Infectious Peritonitis,0.8387096774193549,0.8884892086330936,0.862882096069869,556.0
MLP_diamond_Large,7,Feline Leukemia Virus,0.8471074380165289,0.737410071942446,0.7884615384615384,556.0
MLP_diamond_Large,8,Feline Panleukopenia,0.9318568994889267,0.9838129496402878,0.9571303587051618,556.0
MLP_diamond_Large,9,Feline Renal Disease,0.9607843137254902,0.9711711711711711,0.9659498207885304,555.0
MLP_diamond_Large,10,Fungal Infection,0.9678068410462777,0.8666666666666667,0.9144486692015209,555.0
MLP_diamond_Large,11,Gastroenteritis,0.9104991394148021,0.9514388489208633,0.93051890941073,556.0
MLP_diamond_Large,12,Hyperthyroidism,1.0,0.9981981981981982,0.9990982867448152,555.0
MLP_diamond_Large,13,Inflammatory Bowel Disease,0.905,0.9766187050359713,0.9394463667820069,556.0
MLP_diamond_Large,14,Intestinal Parasites,0.9631578947368421,0.987410071942446,0.9751332149200711,556.0
MLP_diamond_Large,15,Pancreatitis,0.9662288930581614,0.9279279279279279,0.9466911764705882,555.0
MLP_diamond_Large,16,Ringworm,0.9666080843585237,0.990990990990991,0.9786476868327402,555.0
MLP_diamond_Large,17,Upper Respiratory Infection,0.98,0.9711711711711711,0.9755656108597285,555.0
MLP_diamond_XL,0,Conjunctivitis,0.9571428571428572,0.9657657657657658,0.9614349775784753,555.0
MLP_diamond_XL,1,Feline Asthma,0.9856373429084381,0.9891891891891892,0.987410071942446,555.0
MLP_diamond_XL,2,Feline Calicivirus,0.9500891265597148,0.9586330935251799,0.954341987466428,556.0
MLP_diamond_XL,3,Feline Chlamydiosis,0.7436399217221135,0.6834532374100719,0.7122774133083412,556.0
MLP_diamond_XL,4,Feline Herpesvirus,0.7154471544715447,0.7913669064748201,0.7514944491887275,556.0
MLP_diamond_XL,5,Feline Immunodeficiency Virus,0.9105839416058394,0.8974820143884892,0.9039855072463768,556.0
MLP_diamond_XL,6,Feline Infectious Peritonitis,0.8513761467889909,0.8345323741007195,0.8428701180744778,556.0
MLP_diamond_XL,7,Feline Leukemia Virus,0.7808695652173913,0.8075539568345323,0.7939876215738285,556.0
MLP_diamond_XL,8,Feline Panleukopenia,0.9631675874769797,0.9406474820143885,0.9517743403093721,556.0
MLP_diamond_XL,9,Feline Renal Disease,0.9507042253521126,0.972972972972973,0.9617097061442564,555.0
MLP_diamond_XL,10,Fungal Infection,0.9423076923076923,0.8828828828828829,0.9116279069767442,555.0
MLP_diamond_XL,11,Gastroenteritis,0.9491833030852994,0.9406474820143885,0.9448961156278229,556.0
MLP_diamond_XL,12,Hyperthyroidism,1.0,1.0,1.0,555.0
MLP_diamond_XL,13,Inflammatory Bowel Disease,0.9389587073608617,0.9406474820143885,0.9398023360287511,556.0
MLP_diamond_XL,14,Intestinal Parasites,0.9633507853403142,0.9928057553956835,0.9778565101860053,556.0
MLP_diamond_XL,15,Pancreatitis,0.9567567567567568,0.9567567567567568,0.9567567567567568,555.0
MLP_diamond_XL,16,Ringworm,0.9766187050359713,0.9783783783783784,0.9774977497749775,555.0
MLP_diamond_XL,17,Upper Respiratory Infection,0.9781818181818182,0.9693693693693693,0.9737556561085973,555.0
MLP_diamond_XXL,0,Conjunctivitis,0.9508771929824561,0.9765765765765766,0.9635555555555556,555.0
MLP_diamond_XXL,1,Feline Asthma,0.9874776386404294,0.9945945945945946,0.9910233393177738,555.0
MLP_diamond_XXL,2,Feline Calicivirus,0.9613259668508287,0.9388489208633094,0.9499545040946314,556.0
MLP_diamond_XXL,3,Feline Chlamydiosis,0.8092783505154639,0.564748201438849,0.6652542372881356,556.0
MLP_diamond_XXL,4,Feline Herpesvirus,0.6727019498607242,0.8687050359712231,0.7582417582417582,556.0
MLP_diamond_XXL,5,Feline Immunodeficiency Virus,0.940952380952381,0.8884892086330936,0.913968547641073,556.0
MLP_diamond_XXL,6,Feline Infectious Peritonitis,0.8762278978388998,0.802158273381295,0.8375586854460094,556.0
MLP_diamond_XXL,7,Feline Leukemia Virus,0.790990990990991,0.789568345323741,0.7902790279027903,556.0
MLP_diamond_XXL,8,Feline Panleukopenia,0.9169435215946844,0.9928057553956835,0.9533678756476683,556.0
MLP_diamond_XXL,9,Feline Renal Disease,0.9368600682593856,0.9891891891891892,0.9623137598597721,555.0
MLP_diamond_XXL,10,Fungal Infection,0.926873857404022,0.9135135135135135,0.9201451905626135,555.0
MLP_diamond_XXL,11,Gastroenteritis,0.941923774954628,0.9334532374100719,0.9376693766937669,556.0
MLP_diamond_XXL,12,Hyperthyroidism,0.9981949458483754,0.9963963963963964,0.9972948602344455,555.0
MLP_diamond_XXL,13,Inflammatory Bowel Disease,0.9427549194991055,0.947841726618705,0.9452914798206278,556.0
MLP_diamond_XXL,14,Intestinal Parasites,0.9800362976406534,0.9712230215827338,0.975609756097561,556.0
MLP_diamond_XXL,15,Pancreatitis,0.9426086956521739,0.9765765765765766,0.95929203539823,555.0
